policy,keyword,score,chunk
egypt-national-guidelines-for-trustworthy-ai.pdf,artificial intelligence compliance,0.7499905824661255,"Even when importing a model from a third-party, we may still need to apply some actions"
egypt-national-guidelines-for-trustworthy-ai.pdf,artificial intelligence green computing,0.7499842643737793,". Identify target user groups, usage contexts, and decision"
unesco-recommendation-on-ethics-of-ai.pdf,artificial intelligence compliance,0.7499886751174927,"with relevant national, regional and international"
unesco-recommendation-on-ethics-of-ai.pdf,artificial intelligence equality,0.7499864101409912,"countries where the economy is labour- effective mechanisms of retaining employees during intensive. This can include the introduction of a wider those transition periods, and exploring safety net range of core and interdisciplinary skills at all education programmes for those who cannot be retraine"
nist-ai-risk-management-framework.pdf,artificial intelligence equality,0.7499555349349976,"recognize their unique position to exert influence on people, society, and the future"
nist-ai-risk-management-framework.pdf,green artificial intelligence,0.749954879283905,"adequatelymanagetheproblemofharmfulbiasinAIsystems; confrontthechallengingrisksrelatedtogenerativeAI; comprehensivelyaddresssecurityconcernsrelatedtoevasion,modelextraction,membershipinference,availability,orothermachinelearningattacks; accountforthecomplexattacksurfaceofAIsystemsorothersecurityabus"
g7-hiroshima-ai-process-code-of-conduct.pdf,artificial intelligence privacy,0.749966561794281,> The results of red-teaming conducted to evaluate the model s/system s fitness for moving beyond
g7-hiroshima-ai-process-code-of-conduct.pdf,artificial intelligence energy consumption,0.7496642470359802,"Organizations should use, as and when appropriate commensurate to the level of risk, AI systems as intended and monitor for vulnerabilities, incidents, emerging risks and misuse after deployment, and take appropriate action to address these. Organizations are encouraged to consider, for example, fac"
eu-ethics-guidelines-for-trustworthy-ai.pdf,artificial intelligence equity,0.7499865293502808,https://www.mckinsey.com/business-functions/operations/our-insights/secrets-of-successful-change-implementation
eu-ethics-guidelines-for-trustworthy-ai.pdf,eco-friendly artificial intelligence,0.7499483227729797,"guidelines, references to fundamental rights reflect the latter component. . From fundamental rights to ethical principles . Fundamental rights as a basis for Trustworthy AI Among the comprehensive set of indivisible rights set out in international human rights law, the EU Treaties and the EU Charte"
brazil-ai-for-the-good-of-all.pdf,artificial intelligence environmental impact,0.7499833703041077,"BRASIL. Minist rio da Ci ncia, Tecnologia e Inova o - MCTI. Lan ada a terceira rodada do programa Solu es de IA para o Poder P blico. 2024c. Available in: https://www.gov.br/mcti/pt-br/acompanhe -o-mcti/noticias/ / /lancada-a-terceira-rodada-do-programa-solucoes-de-ia-para-o-poder-publico BRASIL. Mi"
brazil-ai-for-the-good-of-all.pdf,artificial intelligence governance,0.7499711513519287,"Figure From Beginnings to the Modern Era: A Timeline of Artificial Intelligence Understanding the dynamics of a technological revolution is essential for emerging countries like Brazil to identify and seize the windows of opportunity that arise, allowing them to accelerate their development processe"
uk-pro-innovation-approach-to-ai-regulation.pdf,accountable artificial intelligence,0.7499946355819702,. A duty would ensure that regulators retain the ability to exercise
uk-pro-innovation-approach-to-ai-regulation.pdf,accountable artificial intelligence,0.7499913573265076,"proposals in the white paper, see section 3. . . We agree that reporting"
new-zealand-strategy-for-ai-investing-with-confidence.pdf,artificial intelligence green computing,0.7499656081199646,hosted by the Robinson Research Institute. This
new-zealand-strategy-for-ai-investing-with-confidence.pdf,artificial intelligence explainability,0.7499269247055054,datasets that are predominantly controlled by
us-eo-14110.pdf,artificial intelligence compliance,0.74998939037323,"(z) The term privacy-enhancing technology means any software or hardware solution, technical process, technique, or other technological means of mitigating privacy risks arising from data processing, including by enhancing predictability, manageability, disassociability, storage, security, and confi"
us-eo-14110.pdf,artificial intelligence green computing,0.7499810457229614,"Education, strengthen and expand education and training opportunities that provide individuals pathways to occupations related to AI. (b) To help ensure that AI deployed in the workplace advances employees"
us-america-ai-action-plan.pdf,artificial intelligence transparency,0.7499607801437378,policy requirements for CHIPS-funded semiconductor manufacturing projects. DOC
us-america-ai-action-plan.pdf,artificial intelligence accountability,0.7499379515647888,"decision of whether and how to release an open or closed model is fundamentally up to the developer, the Federal government should create a supportive environment for open models. Ensure access to large-scale computing power for startups and academics by improving the financial market for compute. C"
eu-communication-on-ai-innovation.pdf,artificial intelligence anonymity,0.7499899864196777,"Climate change and environmental sustainability Generative AI is revolutionising the development of extreme weather and climate prediction systems, an area where the Union has been a frontrunner in employing traditional climate"
eu-communication-on-ai-innovation.pdf,artificial intelligence transparency,0.7499603629112244,"catalytic for the further development of these sectors. The Commission will therefore propose activities under the Digital Europe Programme to enhance talent and cultivate the required skills in a few strategic application areas. Examples of such areas include robotics, healthcare and biotechnologie"
