title,authors,year,venue,doi,url,citation_count,semantic_scholar_id,fields_of_study,s2_fields_of_study
The Dark Side of Ethical Robots,"D. Vanderelst, A. Winfield",2016,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278726,https://www.semanticscholar.org/paper/789c84974cbf0373f36f9fe6122616afe7b07327,58,789c84974cbf0373f36f9fe6122616afe7b07327,"['Computer Science', 'Engineering']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Engineering', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
Distill-and-Compare: Auditing Black-Box Models Using Transparent Model Distillation,"S. Tan, R. Caruana, G. Hooker, Yin Lou",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278725,https://www.semanticscholar.org/paper/752fd6f73c0840e5919180441c3c575da4a41124,203,752fd6f73c0840e5919180441c3c575da4a41124,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Education', 'source': 's2-fos-model'}]"
Socialbots Supporting Human Rights,"P. Suárez-Serrato, E. I. V. Richards, Mehrdad Yazdani",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278734,https://www.semanticscholar.org/paper/0b5e8b2659b5677e330de18be4b91fb151606131,14,0b5e8b2659b5677e330de18be4b91fb151606131,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Law', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Rationalization: A Neural Machine Translation Approach to Generating Natural Language Explanations,"Brent Harrison, Upol Ehsan, Mark O. Riedl",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278736,https://www.semanticscholar.org/paper/acbea6c0a445fc61963c8587c6021dd5d80c95e3,225,acbea6c0a445fc61963c8587c6021dd5d80c95e3,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Sub-committee Approval Voting and Generalized Justified Representation Axioms,"H. Aziz, Barton E. Lee",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278739,https://www.semanticscholar.org/paper/37b69fb56157a4026fcdd24217144f75593122bb,12,37b69fb56157a4026fcdd24217144f75593122bb,"['Mathematics', 'Computer Science']","[{'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Political Science', 'source': 's2-fos-model'}]"
Fair Forests: Regularized Tree Induction to Minimize Model Bias,"Edward Raff, Jared Sylvester, S. Mills",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278742,https://www.semanticscholar.org/paper/d0f57f55602c78c7c1084853b2341446184a8417,76,d0f57f55602c78c7c1084853b2341446184a8417,"['Computer Science', 'Mathematics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Incorrigibility in the CIRL Framework,Ryan Carey,2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278750,https://www.semanticscholar.org/paper/7ba22bc1cc37336a2a4e769c9798c47c8cad0b11,26,7ba22bc1cc37336a2a4e769c9798c47c8cad0b11,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]"
Modeling Epistemological Principles for Bias Mitigation in AI Systems: An Illustration in Hiring Decisions,"Marisa Vasconcelos, C. Cardonha, Bernardo Gonçalves",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278751,https://www.semanticscholar.org/paper/bf3e147b92aeb91f52bbccee5d9127cf9da10c5d,30,bf3e147b92aeb91f52bbccee5d9127cf9da10c5d,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]"
What's up with Privacy?: User Preferences and Privacy Concerns in Intelligent Personal Assistants,"L. Manikonda, Aditya Deotale, S. Kambhampati",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278773,https://www.semanticscholar.org/paper/0a905365045e53c2156f9db049065dbd719a0dd2,88,0a905365045e53c2156f9db049065dbd719a0dd2,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]"
Ethical Challenges in Data-Driven Dialogue Systems,"Peter Henderson, Koustuv Sinha, Nicolas Angelard-Gontier, Nan Rosemary Ke, G. Fried, Ryan Lowe, Joelle Pineau",2017,"AAAI/ACM Conference on AI, Ethics, and Society",10.1145/3278721.3278777,https://www.semanticscholar.org/paper/a24d72bd0d08d515cb3e26f94131d33ad6c861db,186,a24d72bd0d08d515cb3e26f94131d33ad6c861db,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}, {'category': 'Philosophy', 'source': 's2-fos-model'}]"
