policy_document,abstract_title,alignment_score,rank
brazil-ai-for-the-good-of-all.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.558132256938002,1
brazil-ai-for-the-good-of-all.pdf,Algorithmic Recourse,16.538893131809207,2
brazil-ai-for-the-good-of-all.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.457003691856748,3
brazil-ai-for-the-good-of-all.pdf,A Multidimensional Approach to Ethical AI Auditing,16.448555086949526,4
brazil-ai-for-the-good-of-all.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.43512672129761,5
china-interim-measures-for-management-of-generative-ai.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.259484173699434,1
china-interim-measures-for-management-of-generative-ai.pdf,Algorithmic Recourse,16.241801080771914,2
china-interim-measures-for-management-of-generative-ai.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.1595496531329,3
china-interim-measures-for-management-of-generative-ai.pdf,A Multidimensional Approach to Ethical AI Auditing,16.151878615467837,4
china-interim-measures-for-management-of-generative-ai.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.138267455380454,5
egypt-national-guidelines-for-trustworthy-ai.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.707047315630206,1
egypt-national-guidelines-for-trustworthy-ai.pdf,Algorithmic Recourse,16.686913835140647,2
egypt-national-guidelines-for-trustworthy-ai.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.603642707588477,3
egypt-national-guidelines-for-trustworthy-ai.pdf,A Multidimensional Approach to Ethical AI Auditing,16.59532500592519,4
egypt-national-guidelines-for-trustworthy-ai.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.58099876361266,5
eu-ai-act.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.39812087901554,1
eu-ai-act.pdf,Algorithmic Recourse,16.37705928868855,2
eu-ai-act.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.294745645058185,3
eu-ai-act.pdf,A Multidimensional Approach to Ethical AI Auditing,16.287216014150523,4
eu-ai-act.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.274154807898476,5
eu-communication-on-ai-innovation.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.443226716738188,1
eu-communication-on-ai-innovation.pdf,Algorithmic Recourse,16.424109243308266,2
eu-communication-on-ai-innovation.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.34283420180553,3
eu-communication-on-ai-innovation.pdf,A Multidimensional Approach to Ethical AI Auditing,16.334507817539535,4
eu-communication-on-ai-innovation.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.32111449912486,5
eu-ethics-guidelines-for-trustworthy-ai.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.623668982447484,1
eu-ethics-guidelines-for-trustworthy-ai.pdf,Algorithmic Recourse,16.60449705016705,2
eu-ethics-guidelines-for-trustworthy-ai.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.52249063047062,3
eu-ethics-guidelines-for-trustworthy-ai.pdf,A Multidimensional Approach to Ethical AI Auditing,16.51361799241626,4
eu-ethics-guidelines-for-trustworthy-ai.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.499596991567472,5
eu-general-data-protection-regulation.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,15.579861208812874,1
eu-general-data-protection-regulation.pdf,Algorithmic Recourse,15.559444883762728,2
eu-general-data-protection-regulation.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,15.481229058559801,3
eu-general-data-protection-regulation.pdf,A Multidimensional Approach to Ethical AI Auditing,15.473558115108643,4
eu-general-data-protection-regulation.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,15.461749023841094,5
eu-guidelines-on-definition-of-ai-systems.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.38583522704521,1
eu-guidelines-on-definition-of-ai-systems.pdf,Algorithmic Recourse,16.364796102702606,2
eu-guidelines-on-definition-of-ai-systems.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.28555807139855,3
eu-guidelines-on-definition-of-ai-systems.pdf,A Multidimensional Approach to Ethical AI Auditing,16.275333853322625,4
eu-guidelines-on-definition-of-ai-systems.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.262042658278972,5
g7-hiroshima-ai-process-code-of-conduct.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.665752934245596,1
g7-hiroshima-ai-process-code-of-conduct.pdf,Algorithmic Recourse,16.645437485939784,2
g7-hiroshima-ai-process-code-of-conduct.pdf,Advancing Early Alzheimer's Disease Detection in Underdeveloped Areas with Fair Explainable AI Methods,16.561437875470673,3
g7-hiroshima-ai-process-code-of-conduct.pdf,A Multidimensional Approach to Ethical AI Auditing,16.553572618792906,4
g7-hiroshima-ai-process-code-of-conduct.pdf,AI Ethics in Cyborg Anthropology: Examining AI-Driven Job Displacement Among Women and Marginalized Groups,16.540363107182536,5
gpai-code-of-practice-version-3.pdf,To Regulate or to Be Regulated? – How to Protect the ‘Freedom of Mind’ Against Emotional AI Surveillance,16.1608034863522,1
gpai-code-of-practice-version-3.pdf,Algorithmic Recourse,16.140531666770652,2
